model_key,brand,model,product_name,retailer,url,observed_price,reference_price,currency,price_type,category,location,capacity,availability,active,inhouse_product_match,source_kind,verified_date,notes
almost-heaven-new-blackwater-1-2-person-mini-cube-sauna,Almost Heaven,Blackwater,NEW Blackwater 1-2 Person Mini-Cube Sauna,Almost Heaven,https://almostheaven.com/products/blackwater-mini-cube-sauna,5877.90,8397,USD,from,Traditional,Outdoor,1-2,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-salem-2-person-barrel-sauna,Almost Heaven,Salem,Salem 2 Person Barrel Sauna,Almost Heaven,https://almostheaven.com/products/salem-2-person-barrel-sauna,4036.50,4485,USD,from,Traditional,Outdoor,2,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-vienna-2-person-canopy-barrel-sauna,Almost Heaven,Vienna,Vienna 2 Person Canopy Barrel Sauna,Almost Heaven,https://almostheaven.com/products/vienna-2-person-canopy-barrel-sauna,5184,5184,USD,from,Traditional,Outdoor,2,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-watoga-2-4-person-barrel-sauna,Almost Heaven,Watoga,Watoga 2-4 Person Barrel Sauna,Almost Heaven,https://almostheaven.com/products/watoga-2-4-person-barrel-sauna,5184,5184,USD,from,Traditional,Outdoor,2-4,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-audra-2-4-person-canopy-barrel-sauna,Almost Heaven,Audra,Audra 2-4 Person Canopy Barrel Sauna,Almost Heaven,https://almostheaven.com/products/audra-2-4-person-canopy-barrel-sauna,6060,7575,USD,from,Traditional,Outdoor,2-4,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-pinnacle-4-person-barrel-sauna,Almost Heaven,Pinnacle,Pinnacle 4 Person Barrel Sauna,Almost Heaven,https://almostheaven.com/products/pinnacle-4-person-barrel-sauna,5302.50,7575,USD,from,Traditional,Outdoor,4,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-essex-4-person-barrel-sauna,Almost Heaven,Essex,Essex 4 Person Barrel Sauna,Almost Heaven,https://almostheaven.com/products/essex-barrel-sauna,8548,8548,USD,from,Traditional,Outdoor,4,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-blackwater-4-person-cube-sauna,Almost Heaven,BlackWater,BlackWater 4 Person Cube Sauna,Almost Heaven,https://almostheaven.com/products/blackwater-4-6-person-cube-sauna,9859.50,14085,USD,from,Traditional,Outdoor,4,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,Product-page URL slug references 4-6 person; current catalog title researched as 4 Person Cube Sauna.
almost-heaven-charleston-4-person-canopy-barrel-sauna,Almost Heaven,Charleston,Charleston 4 Person Canopy Barrel Sauna,Almost Heaven,https://almostheaven.com/products/charleston-4-person-canopy-barrel-sauna,8932,8932,USD,from,Traditional,Outdoor,4,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-shenandoah-4-person-barrel-sauna,Almost Heaven,Shenandoah,Shenandoah 4 Person Barrel Sauna,Almost Heaven,https://almostheaven.com/products/shenandoah-4-person-barrel,10650,10650,USD,from,Traditional,Outdoor,4,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-huntington-4-6-person-canopy-barrel-sauna,Almost Heaven,Huntington,Huntington 4-6 Person Canopy Barrel Sauna,Almost Heaven,https://almostheaven.com/products/huntington-4-6-person-canopy-barrel-sauna,6252.40,8932,USD,from,Traditional,Outdoor,4-6,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-grandview-4-6-person-canopy-barrel-sauna,Almost Heaven,Grandview,Grandview 4-6 Person Canopy Barrel Sauna,Almost Heaven,https://almostheaven.com/products/grandview-4-6-person-canopy-barrel-sauna,6358.10,9083,USD,from,Traditional,Outdoor,4-6,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
almost-heaven-princeton-6-person-barrel-sauna,Almost Heaven,Princeton,Princeton 6 Person Barrel Sauna,Almost Heaven,https://almostheaven.com/products/princeton-6-person-barrel-sauna,8932,8932,USD,from,Traditional,Outdoor,6,in_stock,1,brand_not_found_in_current_inhouse_product_search,product,2026-08-12,
